Amplitude Wavelength Sigma "Lambda Vac" Element Flux Flux_Err FWHM eqWidth
2.081059778662507e-15 3726.6033250027217 1.2354187256324567 3727.092 "[O II]" 6.427092898913149e-15 5.963538541516178e-21 5.37256340240674 56.982055891068555
2.999888431018407e-15 3729.4191614785464 1.3485348185237997 3729.875 "[O II]" 1.0113072237090365e-14 9.383667367964421e-21 5.37256340240674 56.982055891068555
6.796354033895495e-16 4341.32261779782 1.2289597510641186 4341.684 "H I" 2.08799519910803e-15 1.9373986237445176e-21 4.0294225518046005 14.158400891087927
3.3870365856866864e-17 4364.880935857072 1.545620724636697 4364.436 "[O III]" 1.308695660100648e-16 1.21430582673217e-22 4.02942255180551 7.036583892385987
1.6550808352169e-15 4862.381630724074 1.4510666362046787 4862.683 "H I" 6.003747358162654e-15 5.5707287374775195e-21 4.0294225518046005 28.192891955808072
1.825456989512915e-17 4933.169307589075 0.654108506093478 4932.603 "[O III]" 2.9849512563827126e-17 2.769660133355272e-23 0.0 6.758929569561262
7.349283905221363e-16 4959.91646626116 1.622446342136183 4960.295 "[O III]" 2.980788824477391e-15 2.7657990073521055e-21 4.02942255180551 20.711040254514266
2.2868377126831064e-15 5007.832216564696 1.5330883873783816 5008.24 "[O III]" 8.764323141887365e-15 8.13219398351016e-21 4.02942255180551 40.1270655706725
9.256936546651781e-19 6297.047911296163 511.346720689105 5756.24 "[N II]" 1.1833101886685172e-15 1.097963883791299e-21 0.0 1.350353384881513
6.6443549408635825e-18 6532.648916004418 8.339700147012937 6529.04 "[N II]" 1.3852211131088384e-16 1.2853119593818016e-22 2.68628170120337 6.906321775545285
3.4026217100405194e-16 6549.726608869512 1.887576037217252 6549.85 "[N II]" 1.6055874542849392e-15 1.489784355215735e-21 4.0294225518046005 18.661734133567574
4.947505312635195e-15 6564.329256703376 2.0046303766893194 6564.61 "H I" 2.4793418909452558e-14 2.3005190237718817e-20 4.02942255180551 117.90258728843915
9.790691829459057e-16 6585.019124409557 2.0315042451588545 6585.28 "[N II]" 4.9721813151657476e-15 4.61356218856435e-21 5.37256340240674 40.06320647809382
6.421031252576087e-16 6718.197868383576 2.0682709438117723 6718.29 "[S II]" 3.319923347471511e-15 3.080473426047384e-21 5.37256340240674 31.281156973582465
4.785843744154115e-16 6732.608450175325 1.9552928151107005 6732.67 "[S II]" 2.3393012959882007e-15 2.1705784950706218e-21 5.37256340240674 21.717413481015008
